,movie_id,user_id,rating,date
0,670,1960,1,2004-02-10
1,152,1346,1,2003-02-15
2,1741,785,1,2005-06-15
3,3032,686,1,2004-05-09
4,536,1894,1,2005-07-10
5,1717,966,1,2005-04-05
6,2495,138,1,2004-12-23
7,1009,979,1,2005-07-01
8,3400,139,1,2005-07-01
9,458,130,1,2005-01-25
10,258,576,1,2002-06-22
11,860,1561,0,2005-10-09
12,242,1451,1,2002-09-30
13,3272,115,1,2005-10-28
14,770,987,1,2005-06-17
15,3062,774,0,2005-12-11
16,2323,41,1,2004-06-03
17,2198,1108,1,2004-05-12
18,318,1680,1,2005-06-24
19,2659,1910,0,2005-09-30
20,178,1067,0,2003-10-23
21,3495,1910,1,2005-09-30
22,3302,1430,1,2004-11-27
23,2492,1345,0,2005-05-02
24,3454,77,1,2005-06-26
25,2674,1144,1,2004-01-09
26,1741,961,1,2005-05-17
27,130,1894,1,2004-06-22
28,1943,1068,1,2005-03-27
29,1936,1784,1,2005-05-10
30,3364,686,0,2004-10-08
31,1008,979,1,2004-07-05
32,338,1835,1,2004-09-08
33,3564,84,0,2005-05-31
34,1167,372,1,2005-06-07
35,3288,1176,0,2005-03-31
36,2977,429,0,2005-04-16
37,1194,1591,1,2004-09-22
38,2559,708,1,2005-02-21
39,1374,983,1,2004-10-16
40,913,1207,0,2005-04-03
41,3282,666,1,2005-06-22
42,2911,429,0,2005-03-28
43,1958,1782,0,2005-03-07
44,3514,859,1,2005-07-07
45,1844,1496,0,2005-10-26
46,3386,1378,1,2005-09-08
47,3126,1813,1,2005-01-24
48,1423,1591,1,2004-09-14
49,1672,1329,1,2005-02-13
50,1672,597,0,2002-01-07
51,3181,589,0,2005-10-03
52,205,1004,1,2004-02-24
53,2895,1946,1,2005-01-23
54,2977,1888,0,2004-11-16
55,1204,336,1,2004-10-06
56,3543,104,1,2005-12-30
57,3124,966,0,2005-07-19
58,183,1178,1,2004-10-15
59,1133,528,0,2004-12-17
60,306,1673,1,2004-09-20
61,1398,566,1,2005-09-27
62,2578,318,0,2004-04-20
63,410,1040,0,2005-06-23
64,1939,1356,0,2005-01-19
65,2843,1820,0,2003-04-03
66,352,1405,0,2004-12-28
67,3148,971,1,2005-01-10
68,1473,1112,0,2005-02-22
69,3239,1210,1,2004-03-22
70,362,1734,0,2005-05-13
71,562,497,0,2005-03-01
72,2885,1801,0,2004-11-15
73,2337,552,0,2005-08-28
74,3106,273,0,2005-02-23
75,1957,1817,1,2005-03-21
76,509,1591,1,2004-09-15
77,2671,1913,0,2004-05-12
78,2784,1973,1,2005-12-29
79,1157,1820,0,2000-12-30
80,3106,1080,1,2005-03-07
81,2216,262,1,2004-12-10
82,2306,563,1,2005-05-04
83,307,1705,0,2004-03-01
84,2658,879,0,2004-05-07
85,1727,1414,0,2004-09-04
86,1161,650,1,2003-10-21
87,2736,164,1,2005-08-18
88,1715,566,1,2005-07-31
89,3282,1573,0,2005-01-19
90,3062,1600,1,2005-11-09
91,1356,207,0,2005-08-15
92,3415,1161,1,2004-05-28
93,898,1820,0,2001-07-18
94,415,1277,0,2002-10-23
95,307,1310,0,2004-11-26
96,362,1310,1,2004-10-28
97,229,396,1,2005-12-07
98,1530,598,1,2005-12-25
99,1869,694,0,2005-07-08
100,1617,1334,0,2004-03-30
101,458,1372,1,2003-08-19
102,2588,1358,0,2000-03-28
103,2817,1705,1,2004-07-13
104,1884,1318,0,2004-10-05
105,2506,841,1,2005-08-12
106,2979,1820,0,2002-12-29
107,379,568,0,2005-07-05
108,483,658,1,2005-11-23
109,3516,1979,0,2004-12-04
110,2577,1723,0,2005-02-27
111,297,566,0,2005-07-31
112,2484,172,0,2005-06-22
113,1133,68,0,2004-12-14
114,1356,486,0,2005-08-28
115,3386,231,1,2005-03-13
116,3083,1345,0,2005-03-14
117,1611,667,1,2005-12-17
118,2286,1583,1,2003-07-05
119,1661,1984,0,2005-02-09
120,3032,1508,1,2005-08-19
121,2339,1242,1,2005-02-02
122,1941,1372,1,2004-06-16
123,2365,1713,1,2005-05-23
124,1504,367,1,2005-04-25
125,2671,423,0,2004-04-21
126,1991,1152,0,2005-08-19
127,2885,981,0,2004-06-07
128,1592,736,1,2004-11-29
129,3094,1872,0,2004-06-09
130,2667,1786,0,2004-01-06
131,2501,228,0,2004-04-27
132,308,388,1,2005-06-30
133,610,262,1,2004-12-01
134,2875,859,1,2004-06-14
135,1277,769,0,2005-07-05
136,2597,1960,1,2004-12-13
137,836,172,0,2004-05-17
138,3415,1748,1,2001-05-02
139,942,256,0,2005-10-25
140,3062,1960,1,2005-10-27
141,2287,1682,1,2004-11-13
142,2687,597,1,2003-09-18
143,887,718,1,2004-11-06
144,1941,255,1,2004-08-09
145,2864,1707,1,2004-07-07
146,2437,760,1,2005-10-18
147,1342,511,1,2004-12-02
148,1846,1552,1,2005-02-09
149,1678,1016,0,2005-06-17
150,2492,1297,1,2004-09-08
151,1652,308,1,2001-10-13
152,205,109,0,2005-06-14
153,2684,1161,1,2004-08-11
154,1292,1065,1,2005-08-28
155,2495,1978,0,2005-04-09
156,151,1190,1,2005-02-02
157,1835,1069,1,2004-11-27
158,1141,1809,0,2004-04-28
159,1214,329,1,2004-04-16
160,3318,1140,1,2004-02-13
161,1818,1338,0,2003-10-09
162,362,495,1,2004-08-16
163,3114,1468,0,2005-08-10
